"test_id","agent","mean_perc_profit","std_dev","variance","initial_budget","mean_budget_with_profit_usd","avg_sale","avg_purchase","avg_time_sale","best_symbol","worst_symbol","timestamp_in","timestamp_fin","notes"
190,"agent3_symb_rnd","156.5844","109.8397","12064.7522","1000","2565.8441","3489.5395","3603.7237","6.1478","SMTI","CHSCP","2025-02-22 15:19:27.135042","2025-02-22 15:22:31.442205","TP:0.01%, Market:nasdaq, Agent3 (Random). Buys only if current price < 50-day avg; sells with 0.01% TP, using 100 randomly selected symbols."
191,"agent3_symb_rnd","98.4805","66.8929","4474.6632","1000","1984.8048","1933.7763","2045.0921","10.9346","SMTI","ARCC","2025-02-22 15:22:31.442437","2025-02-22 15:24:24.610595","TP:0.02%, Market:nasdaq, Agent3 (Random). Buys only if current price < 50-day avg; sells with 0.02% TP, using 100 randomly selected symbols."
1211,"agent5_symb_rnd","95.4845","57.1342","3264.3164","1000","1954.8451","2669.0395","2777.9342","7.7642","WKSP","CHI","2025-02-23 10:37:16.738089","2025-02-23 10:38:26.516808","TP:0.01%, Market:nasdaq, Agent5 (Random). Tests various (#stocks, budget) pairs (e.g., 100/1000, 200/2000...), now with #stock:100 and #budget:1000."
316,"agent7_symb_rnd","94.8251","57.9708","3360.6103","1000","1948.2515","2626.6184","2736.1711","7.9584","SMTI","LNT","2025-02-22 16:20:59.411709","2025-02-22 16:22:16.04851","TP:0.01%, Market:nasdaq, Agent7 (Random, 2-year). Tests over 2 years using 100 randomly selected symbols."
64,"agent2_symb_rnd","94.2986","55.4782","3077.8259","1000","1942.9858","2651.6842","2761.2237","7.8364","LFVN","CHY","2025-02-22 14:26:49.380742","2025-02-22 14:28:08.866096","TP:0.01%, Market:nasdaq, Agent2 (Random). Chooses 100 random symbols; buys & sells with 0.01% TP."
1337,"agent5_symb_rnd","94.1175","54.2649","2944.6755","3000","5823.5242","7973.5","8300.6053","7.5726","NXPL","CHI","2025-02-23 11:27:15.947599","2025-02-23 11:31:04.326105","TP:0.01%, Market:nasdaq, Agent5 (Random). Tests various (#stocks, budget) pairs (e.g., 100/1000, 200/2000...), now with #stock:300 and #budget:3000."
1274,"agent5_symb_rnd","91.3572","59.1297","3496.3212","2000","3827.1434","5305.0921","5522.6447","7.6514","ARWR","CHSCM","2025-02-23 10:56:31.547758","2025-02-23 10:59:00.43971","TP:0.01%, Market:nasdaq, Agent5 (Random). Tests various (#stocks, budget) pairs (e.g., 100/1000, 200/2000...), now with #stock:200 and #budget:2000."
127,"agent3_top_avg_vol","78.3845","59.2333","3508.5884","1000","1783.8454","3409.1184","3516.1184","6.4826","OCGN","AGNC","2025-02-22 14:45:05.172464","2025-02-22 14:48:24.172785","TP:0.01%, Market:nasdaq, Agent3 (Top AvgVol). Buys only if current price < 50-day avg; sells with 0.01% TP, using symbols sorted by decreasing average of the amount of volume in the 6 months preceding the starting date."
192,"agent3_symb_rnd","76.8085","60.1398","3616.797","1000","1768.085","1325.8816","1435.9342","15.9248","NXPL","WSBC","2025-02-22 15:24:24.610905","2025-02-22 15:25:49.99941","TP:0.03%, Market:nasdaq, Agent3 (Random). Buys only if current price < 50-day avg; sells with 0.03% TP, using 100 randomly selected symbols."
585,"agent6_top_avg_vol","76.4617","46.9184","2201.3403","15900","16457.2075","29295.3816","30288.5526","6.3565","DRIO","ACGLO","2025-02-22 19:43:24.171989","2025-02-22 20:01:48.757398","TP:0.01%, Market:nasdaq, perc to select symbol of sector:50.0, Agent6 (Top AvgVol, Sector). Selects top-cap stocks by sector, sorting them by decreasing average of the amount of volume in the 6 months preceding the starting date."
